event_id,timestamp,user_id,src_ip,device_id,event_type,authentication_result,location,severity,source_file,deletion_reason,alert_id,alert_type,process_name,status,analyst_decision,department,role,employment_status,privileged_account
AUTH001257,02/03/2026 17:38,U0154,10.28.104.243,D0197,PASSWORD_CHANGE,Success,Lille,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001863,2026-03-16T18:50:46Z,U0129,10.40.104.17,D0141,PASSWORD_CHANGE,Success,Bordeaux,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH004695,2026-03-05T10:26:23Z,U0114,10.26.15.18,D0024,LOGIN,SUCCESS,Lille,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003173,2026-03-16T10:57:05Z,U0107,10.18.241.98,D0066,LOGOUT,failed,Lyon,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002407,2026-03-13 08:38:52,U0236,10.21.180.68,D0051,LOGOUT,SUCCESS,Toulouse,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002815,2026-03-19 18:37:11,U0106,10.48.213.49,D0082,LOGIN,success,Toulouse,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003370,2026-03-20 19:21:47,U0290,10.18.113.44,D0076,RDP_SESSION,SUCCESS,Lille,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001670,2026-03-04 12:36:13,U0176,10.25.219.39,D0127,LOGOUT,SUCCESS,Paris,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH004628,2026-03-12 14:20:17,U0098,10.4.109.181,D0050,RDP_SESSION,Success,Marseille,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003795,2026-03-16T12:01:11Z,U0135,10.13.132.115,D0001,VPN_CONNECT,success,Lille,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH000720,2026-03-18T16:44:25Z,U0001,10.18.239.162,D0072,PASSWORD_CHANGE,SUCCESS,Marseille,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH004248,2026-03-09T10:46:50Z,U0148,10.19.250.7,D0144,PASSWORD_CHANGE,success,Paris,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002550,14/03/2026 09:23,U0093,10.23.157.248,D0095,PASSWORD_CHANGE,SUCCESS,Paris,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002781,2026-03-04T16:14:40Z,U0364,10.14.43.193,D0151,MFA_CHALLENGE,SUCCESS,Bordeaux,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001640,2026-03-08 14:16:07,U0359,10.44.42.224,D0042,RDP_SESSION,SUCCESS,Lyon,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002563,2026-03-03 18:37:06,U0210,10.19.109.194,D0021,MFA_CHALLENGE,success,Nantes,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH004559,2026-03-22T14:19:40Z,U0240,10.34.57.214,D0182,LOGIN,success,Lille,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH000928,2026-03-10 15:02:34,U0369,10.26.254.99,D0076,LOGIN,FAILED,Nantes,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002059,21/03/2026 08:54,U0313,10.4.66.178,D0179,PASSWORD_CHANGE,Success,Bordeaux,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH004829,09/03/2026 11:00,U0190,100.173.53.210,D0158,VPN_CONNECT,Success,Lagos,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH004250,2026-03-05T16:51:06Z,U0275,10.30.81.52,D0139,PASSWORD_CHANGE,FAILURE,Marseille,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH000409,06/03/2026 11:55,U0301,10.27.47.33,D0123,LOGIN,Success,Toulouse,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003720,08/03/2026 09:08,U0173,10.40.42.152,D0032,VPN_CONNECT,SUCCESS,Bordeaux,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003471,2026-03-17T15:41:53Z,U0356,10.49.157.252,D0071,VPN_CONNECT,SUCCESS,Toulouse,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003777,22/03/2026 17:01,U0041,10.5.247.97,D0195,MFA_CHALLENGE,success,Lyon,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003328,2026-03-11T08:29:42Z,U0060,10.37.69.28,D0158,RDP_SESSION,success,Paris,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002778,2026-03-05 12:54:38,U0207,10.20.157.105,D0020,RDP_SESSION,success,Toulouse,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003609,2026-03-22T19:24:37Z,U0388,10.41.69.218,D0172,LOGOUT,SUCCESS,Toulouse,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003428,15/03/2026 10:50,U0369,10.15.31.211,D0004,RDP_SESSION,success,Paris,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002769,2026-03-13T09:11:54Z,U0071,10.30.25.55,D0143,LOGOUT,success,Nantes,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001351,2026-03-16T08:29:07Z,U0259,-1.2.3.4,D0146,RDP_SESSION,FAILED,Bordeaux,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH000500,2026-03-08T09:53:46Z,U0118,10.41.78.30,D0180,LOGOUT,SUCCESS,Toulouse,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003020,17/03/2026 15:49,U0383,10.0.0,D0177,LOGOUT,Failed,Toulouse,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002482,2026-03-02 11:32:43,U0039,10.9.73.153,D0118,RDP_SESSION,SUCCESS,Nantes,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003860,2026-03-17 15:48:02,U0207,10.43.150.240,D0009,LOGIN,Success,Nantes,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH004522,06/03/2026 12:57,U0153,10.27.118.160,D0164,MFA_CHALLENGE,SUCCESS,Marseille,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001669,2026-03-10 10:25:57,U0003,10.38.108.238,D0198,LOGOUT,Success,Lille,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002816,2026-03-05 09:25:15,U0157,10.33.38.118,D0165,MFA_CHALLENGE,Success,Lille,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002267,2026-03-13 18:49:26,U0289,10.50.207.207,D0199,PASSWORD_CHANGE,SUCCESS,Paris,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH000067,2026-03-11T15:32:10Z,U0035,10.37.43.86,D0106,RDP_SESSION,SUCCESS,Toulouse,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002902,04/03/2026 12:04,U0330,10.41.121.136,D0009,MFA_CHALLENGE,success,Lille,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001274,19/03/2026 14:33,U0189,10.10.108.61,D0028,PASSWORD_CHANGE,success,Toulouse,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH004758,2026-03-20T15:34:29Z,,10.48.83.229,D0159,LOGIN,SUCCESS,Marseille,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003297,2026-03-11 14:07:03,U0180,10.23.77.248,D0138,VPN_CONNECT,success,Nantes,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002188,2026-03-10T15:10:00Z,U0320,10.49.209.173,D0094,RDP_SESSION,Success,Toulouse,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001260,17/03/2026 19:59,U0332,10.28.136.135,D0024,MFA_CHALLENGE,Success,Marseille,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002334,2026-03-13T08:53:06Z,U0041,10.23.230.58,D0128,LOGIN,Success,Paris,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003797,2026-03-14 04:20:35,U0199,10.2.198.165,D0198,LOGOUT,Success,Paris,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH000938,14/03/2026 09:58,U0289,10.33.179.179,D0048,MFA_CHALLENGE,Failed,Paris,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH000191,2026-03-02T15:58:12Z,U0024,10.1.177.12,D0006,VPN_CONNECT,success,Paris,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001350,03/03/2026 08:34,U0037,10.40.220.126,D0153,LOGOUT,success,Lille,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003803,2026-03-04T17:24:45Z,U0293,10.48.190.81,D0047,RDP_SESSION,SUCCESS,Nantes,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH000267,19/03/2026 14:50,U0340,10.44.119.19,D0149,RDP_SESSION,success,Lille,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002374,16/03/2026 14:48,U0093,10.23.209.179,D0152,MFA_CHALLENGE,success,Lyon,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001948,19/03/2026 18:57,U0010,10.17.218.141,D0085,LOGOUT,SUCCESS,Toulouse,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003652,2026-03-04 14:31:23,U0009,10.31.47.148,D0073,RDP_SESSION,SUCCESS,Nantes,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002784,2026-03-19T16:23:32Z,U0008,10.10.103.59,D0009,MFA_CHALLENGE,Success,Paris,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002738,20/03/2026 18:54,U0240,10.38.196.65,D0196,LOGIN,success,Marseille,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001588,2026-03-11 12:46:36,U0326,10.38.166.127,D0182,MFA_CHALLENGE,SUCCESS,Toulouse,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002794,2026-03-05T14:57:23Z,U0073,10.33.222.159,D0050,RDP_SESSION,SUCCESS,Nantes,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003307,2026-03-20 12:58:07,U0028,10.43.34.176,D0024,RDP_SESSION,success,Nantes,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002584,2026-03-20T11:43:12Z,U0065,10.6.11.71,D0152,VPN_CONNECT,SUCCESS,Marseille,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001690,08/03/2026 12:12,,10.28.176.230,D0008,PASSWORD_CHANGE,Success,Lyon,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001549,2026-03-16T11:53:40Z,U0198,10.5.235.217,D0169,LOGOUT,Success,Lille,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH000348,2026-03-20T15:22:00Z,U0249,10.20.27.56,D0072,RDP_SESSION,Success,Toulouse,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003115,18/03/2026 16:10,U0091,10.30.228.167,D0165,LOGIN,success,Toulouse,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001209,2026-03-05T10:59:40Z,U0240,10.4.186.199,D0164,LOGOUT,success,Lyon,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002412,2026-03-03T10:33:30Z,U0064,10.5.9.93,D0198,LOGOUT,success,Lille,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002113,2026-03-09T03:22:23Z,U0382,10.38.185.152,D0024,PASSWORD_CHANGE,success,Nantes,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002896,2026-03-16 09:44:53,U0174,10.16.124.156,D0086,LOGIN,success,Lille,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002976,14/03/2026 17:52,U0305,10.48.97.224,D0163,MFA_CHALLENGE,Success,Marseille,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003750,2026-03-13 18:03:32,U0356,10.4.215.18,D0182,LOGOUT,Success,Lyon,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH000406,2026-03-08T18:42:32Z,U0288,10.0.211.130,D0078,MFA_CHALLENGE,success,Paris,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002790,06/03/2026 14:07,U0282,10.50.236.169,D0017,LOGOUT,SUCCESS,Lyon,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002262,2026-03-06 13:28:55,U0025,abc.def.ghi.jkl,D0167,LOGIN,SUCCESS,Paris,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH004224,2026-03-14T19:47:30Z,U0240,10.35.10.82,D0084,MFA_CHALLENGE,Success,Toulouse,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003121,2026-03-19T10:25:00Z,U0270,10.28.135.203,D0041,VPN_CONNECT,SUCCESS,Nantes,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001736,15/03/2026 16:56,U0019,10.46.75.44,D0189,LOGOUT,failed,Bordeaux,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH004229,2026-03-08 13:02:21,U0294,10.10.169.184,D0039,LOGIN,FAILURE,Toulouse,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002073,2026-03-10 15:31:59,U0224,10.2.76.211,D0100,PASSWORD_CHANGE,SUCCESS,Marseille,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003929,2026-03-08 12:30:18,U0391,10.38.1.172,D0171,LOGOUT,SUCCESS,Lyon,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002999,2026-03-06 19:25:45,U0233,10.25.213.10,D0136,VPN_CONNECT,Success,Lille,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH004301,2026-03-03 17:54:06,U0093,10.6.194.129,D0052,PASSWORD_CHANGE,FAILURE,Marseille,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001989,2026-03-11 13:45:30,U0080,10.26.36.15,D0056,RDP_SESSION,Success,Nantes,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002299,2026-03-10 08:57:32,U0214,10.36.15.29,D0002,LOGIN,success,Paris,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002958,04/03/2026 18:26,U0245,10.8.75.248,D0008,MFA_CHALLENGE,success,Lyon,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH004108,2026-03-17T17:58:21Z,U0181,10.39.61.164,D0108,RDP_SESSION,Success,Lille,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001320,2026-03-02T08:28:52Z,U0168,10.24.93.253,D0059,MFA_CHALLENGE,Success,Paris,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH004211,04/03/2026 15:46,U0101,10.2.173.56,D0094,LOGIN,SUCCESS,Toulouse,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002558,2026-03-19 15:01:48,U0004,10.23.68.156,D0059,MFA_CHALLENGE,Success,Lyon,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002608,2026-03-10 15:00:15,U0009,10.7.75.92,D0012,MFA_CHALLENGE,SUCCESS,Nantes,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH004540,2026-03-21T13:29:23Z,U0119,10.18.221.82,D0019,RDP_SESSION,SUCCESS,Lyon,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003112,2026-03-02T19:36:04Z,U0320,10.17.90.249,D0199,LOGOUT,Success,Toulouse,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001512,05/03/2026 19:54,U0103,10.45.39.187,D0028,MFA_CHALLENGE,Success,Toulouse,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001369,06/03/2026 10:22,U0354,10.35.86.156,D0131,PASSWORD_CHANGE,SUCCESS,Bordeaux,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH000605,11/03/2026 14:29,U0356,10.44.252.170,D0085,VPN_CONNECT,failed,Bordeaux,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001636,2026-03-11 13:39:24,U0351,10.18.206.209,D0102,LOGOUT,SUCCESS,Nantes,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002434,2026-03-06 02:30:18,U0340,10.0.129.149,D0013,PASSWORD_CHANGE,Success,Lyon,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH004326,2026-03-20T12:03:31Z,,10.4.224.254,D0076,LOGOUT,Success,Nantes,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002539,04/03/2026 16:41,U0318,10.44.117.181,D0075,RDP_SESSION,success,Lille,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH000235,2026-03-07T15:27:59Z,U0198,10.24.102.108,D0090,MFA_CHALLENGE,SUCCESS,Lille,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH000396,20/03/2026 11:48,U0157,10.30.106.243,D0125,RDP_SESSION,Success,Nantes,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001788,2026-03-17 14:01:37,U0134,10.9.87.37,D0117,LOGOUT,Success,Marseille,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH000491,14/03/2026 19:25,U0240,10.2.199.182,D0188,LOGIN,Failed,Paris,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003781,04/03/2026 18:05,U0169,10.26.223.103,D0043,VPN_CONNECT,success,Nantes,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002207,2026-03-12T17:47:08Z,U0342,10.35.38.210,D0095,LOGOUT,success,Paris,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH000256,2026-03-17 18:52:23,U0056,10.40.204.201,D0005,LOGOUT,SUCCESS,Lyon,low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001207,2026-03-04 12:35:01,U0070,10.49.222.85,D0088,RDP_SESSION,SUCCESS,Paris,Medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH004462,20/03/2026 15:14,,10.37.240.73,D0103,VPN_CONNECT,success,Lille,medium,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002964,14/03/2026 18:33,U0280,10.34.29.44,D0071,VPN_CONNECT,Success,Lille,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002228,2026-03-11 18:25:31,U0297,10.48.46.44,D0123,PASSWORD_CHANGE,success,Paris,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003600,2026-03-15 08:12:11,U0117,10.16.98.213,D0107,LOGIN,success,Toulouse,LOW,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH003441,2026-03-19 18:25:23,U0260,10.19.100.219,D0192,VPN_CONNECT,SUCCESS,Paris,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH002660,2026-03-12 12:43:55,U0036,10.32.228.241,D0033,VPN_CONNECT,Success,Marseille,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH000891,10/03/2026 19:47,U0073,10.36.28.252,D0018,LOGOUT,success,Lille,MEDIUM,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
AUTH001491,2026-03-19 08:52:07,U0139,10.3.199.158,D0110,LOGOUT,SUCCESS,Nantes,Low,authentication_logs.csv,EXACT_DUPLICATE_ROW,,,,,,,,,
