timestamp,source,event_id,user_id,device_id,src_ip,src_ip_valid,event_type,process_name,severity,authentication_result,location,user_department,user_role,employment_status,privileged_account,hostname,asset_type,asset_owner,asset_criticality,user_known,device_known,label,triage_label
2026-03-02 01:31:00,authentication_logs,AUTH003692,U0190,D0154,10.27.255.130,True,MFA_CHALLENGE,UNKNOWN,MEDIUM,SUCCESS,Bordeaux,IT,Manager,ACTIVE,YES,PHF-LT-0154,Mobile,Finance,HIGH,True,True,UNLABELED,SUSPICIOUS
2026-03-02 01:41:00,authentication_logs,AUTH000733,U0008,D0029,10.21.247.242,True,LOGOUT,UNKNOWN,LOW,FAILED,Marseille,Regions,Technician,ACTIVE,NO,PHF-WS-0029,Server,IT,CRITICAL,True,True,UNLABELED,MALICIOUS
2026-03-02 01:53:00,authentication_logs,AUTH000859,U0343,D0025,10.12.238.24,True,LOGIN,UNKNOWN,MEDIUM,SUCCESS,Toulouse,RH,Engineer,ACTIVE,NO,PHF-WS-0025,Laptop,RH,LOW,True,True,UNLABELED,NORMAL
2026-03-02 02:32:15,authentication_logs,AUTH002474,U0202,D0053,10.42.152.134,True,PASSWORD_CHANGE,UNKNOWN,MEDIUM,SUCCESS,Bordeaux,Communication,Technician,ACTIVE,NO,PHF-SRV-0053,Server,Regions,MEDIUM,True,True,UNLABELED,SUSPICIOUS
2026-03-02 02:50:24,authentication_logs,AUTH002027,U0226,D0041,10.39.189.42,True,MFA_CHALLENGE,UNKNOWN,LOW,SUCCESS,Lille,Communication,Analyst,ACTIVE,NO,PHF-SRV-0041,VM,Direction,CRITICAL,True,True,UNLABELED,SUSPICIOUS
2026-03-02 02:54:15,authentication_logs,AUTH001032,U0018,D0186,10.8.85.206,True,LOGIN,UNKNOWN,LOW,SUCCESS,Paris,Direction,Assistant,ACTIVE,NO,PHF-LT-0186,Laptop,Direction,LOW,True,True,UNLABELED,NORMAL
2026-03-02 04:27:42,authentication_logs,AUTH001800,U0175,D0146,10.15.81.107,True,VPN_CONNECT,UNKNOWN,MEDIUM,SUCCESS,Lyon,RH,Engineer,ACTIVE,YES,PHF-VM-0146,Laptop,Juridique,HIGH,True,True,UNLABELED,SUSPICIOUS
2026-03-02 08:00:49,authentication_logs,AUTH002898,U0045,D0137,10.47.106.159,True,LOGIN,UNKNOWN,LOW,SUCCESS,Paris,Juridique,Coordinator,ACTIVE,NO,PHF-WS-0137,Mobile,Regions,CRITICAL,True,True,UNLABELED,NORMAL
2026-03-02 08:05:29,authentication_logs,AUTH000234,U0312,D0016,10.7.254.184,True,LOGIN,UNKNOWN,MEDIUM,FAILED,Lille,RH,Analyst,ACTIVE,NO,PHF-SRV-0016,Server,UNKNOWN,MEDIUM,True,True,UNLABELED,SUSPICIOUS
2026-03-02 08:07:06,edr_alerts,EDR001624,U0017,D0084,UNKNOWN,False,PUP Detected,mimikatz.exe,MEDIUM,NOT_APPLICABLE,UNKNOWN,Direction,Engineer,ACTIVE,NO,PHF-VM-0084,Server,Direction,MEDIUM,True,True,NEEDS_INVESTIGATION,MALICIOUS
2026-03-02 08:08:26,authentication_logs,AUTH001969,U0362,D0107,10.28.126.72,True,PASSWORD_CHANGE,UNKNOWN,MEDIUM,SUCCESS,Toulouse,IT,Engineer,ACTIVE,NO,PHF-SRV-0107,Mobile,Direction,UNKNOWN,True,True,UNLABELED,NORMAL
2026-03-02 08:10:16,authentication_logs,AUTH002870,U0303,D0151,10.6.36.144,True,LOGIN,UNKNOWN,MEDIUM,SUCCESS,Lille,IT,Assistant,ACTIVE,NO,PHF-LT-0151,Mobile,Juridique,CRITICAL,True,True,UNLABELED,SUSPICIOUS
2026-03-02 08:11:39,edr_alerts,EDR000979,U0313,D0076,UNKNOWN,False,Suspicious Process,outlook.exe,LOW,NOT_APPLICABLE,UNKNOWN,Communication,Director,ACTIVE,NO,PHF-SRV-0076,Desktop,IT,MEDIUM,True,True,UNLABELED,NORMAL
2026-03-02 08:16:48,authentication_logs,AUTH000825,U0354,D0185,10.14.236.118,True,RDP_SESSION,UNKNOWN,LOW,SUCCESS,Lille,Finance,Engineer,ACTIVE,NO,PHF-LT-0185,Desktop,Direction,CRITICAL,True,True,UNLABELED,NORMAL
2026-03-02 08:17:01,edr_alerts,EDR000763,U0001,D0077,UNKNOWN,False,Suspicious Process,chrome.exe,MEDIUM,NOT_APPLICABLE,UNKNOWN,Communication,Analyst,ACTIVE,NO,PHF-LT-0077,VM,Communication,MEDIUM,True,True,FALSE_POSITIVE,NORMAL
2026-03-02 08:22:47,authentication_logs,AUTH000038,U0297,D0031,10.14.139.107,True,RDP_SESSION,UNKNOWN,MEDIUM,SUCCESS,Bordeaux,Direction,Director,ACTIVE,NO,PHF-WS-0031,Mobile,UNKNOWN,MEDIUM,True,True,UNLABELED,NORMAL
2026-03-02 08:24:17,authentication_logs,AUTH000240,U0259,D0198,10.49.211.96,True,MFA_CHALLENGE,UNKNOWN,MEDIUM,FAILED,Bordeaux,Communication,Analyst,ACTIVE,NO,PHF-VM-0198,Mobile,Communication,LOW,True,True,UNLABELED,NORMAL
2026-03-02 08:28:52,authentication_logs,AUTH001320,U0168,D0059,10.24.93.253,True,MFA_CHALLENGE,UNKNOWN,MEDIUM,SUCCESS,Paris,Regions,Assistant,ACTIVE,NO,PHF-WS-0059,Desktop,Direction,UNKNOWN,True,True,UNLABELED,NORMAL
2026-03-02 08:32:00,authentication_logs,AUTH004078,U0094,D0106,10.29.165.233,True,LOGIN,UNKNOWN,LOW,SUCCESS,Lyon,IT,Analyst,ACTIVE,NO,PHF-WS-0106,Laptop,Regions,LOW,True,True,UNLABELED,NORMAL
2026-03-02 08:32:54,authentication_logs,AUTH002759,U0189,D0187,10.46.156.149,True,PASSWORD_CHANGE,UNKNOWN,LOW,SUCCESS,Marseille,RH,Analyst,ACTIVE,NO,PHF-SRV-0187,Desktop,IT,HIGH,True,True,UNLABELED,NORMAL
2026-03-02 08:35:28,edr_alerts,EDR000181,U0112,D0059,UNKNOWN,False,Suspicious Process,python.exe,HIGH,NOT_APPLICABLE,UNKNOWN,Finance,Coordinator,ACTIVE,NO,PHF-WS-0059,Desktop,Direction,UNKNOWN,True,True,FALSE_POSITIVE,NORMAL
2026-03-02 08:36:42,authentication_logs,AUTH001642,U0334,D0119,10.9.207.40,True,PASSWORD_CHANGE,UNKNOWN,MEDIUM,SUCCESS,Toulouse,Communication,Coordinator,ACTIVE,NO,PHF-VM-0119,Laptop,UNKNOWN,LOW,True,True,UNLABELED,NORMAL
2026-03-02 08:42:48,authentication_logs,AUTH003503,UNKNOWN,D0023,10.43.42.52,True,VPN_CONNECT,UNKNOWN,LOW,SUCCESS,Lyon,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PHF-WS-0023,Desktop,RH,HIGH,False,True,UNLABELED,NORMAL
2026-03-02 08:43:22,edr_alerts,EDR001675,U0068,D0097,UNKNOWN,False,Unusual Network,chrome.exe,CRITICAL,NOT_APPLICABLE,UNKNOWN,Juridique,Assistant,ACTIVE,NO,PHF-VM-0097,Desktop,Juridique,MEDIUM,True,True,UNLABELED,SUSPICIOUS
2026-03-02 08:46:16,authentication_logs,AUTH002823,U0311,D0099,10.48.180.88,True,MFA_CHALLENGE,UNKNOWN,LOW,SUCCESS,Bordeaux,Finance,Assistant,ACTIVE,NO,PHF-SRV-0099,VM,RH,UNKNOWN,True,True,UNLABELED,NORMAL
2026-03-02 08:48:00,authentication_logs,AUTH000516,U0129,D0090,10.21.153.22,True,PASSWORD_CHANGE,UNKNOWN,MEDIUM,SUCCESS,Lyon,Juridique,Technician,ACTIVE,NO,PHF-VM-0090,VM,Communication,MEDIUM,True,True,UNLABELED,NORMAL
2026-03-02 08:49:00,authentication_logs,AUTH001732,U0074,D0189,10.50.175.154,True,LOGOUT,UNKNOWN,LOW,FAILED,Lille,Finance,Coordinator,ACTIVE,NO,PHF-SRV-0189,VM,Communication,MEDIUM,True,True,UNLABELED,SUSPICIOUS
2026-03-02 08:49:00,authentication_logs,AUTH003730,U0202,D0115,10.20.240.47,True,LOGIN,UNKNOWN,MEDIUM,SUCCESS,Paris,Communication,Technician,ACTIVE,NO,PHF-LT-0115,Mobile,Communication,UNKNOWN,True,True,UNLABELED,NORMAL
2026-03-02 08:49:19,authentication_logs,AUTH000937,U0139,D0111,10.12.121.38,True,LOGOUT,UNKNOWN,LOW,SUCCESS,Lyon,IT,Assistant,ACTIVE,NO,PHF-SRV-0111,Laptop,Regions,HIGH,True,True,UNLABELED,NORMAL
2026-03-02 08:52:27,edr_alerts,EDR001120,U0324,D0015,UNKNOWN,False,Suspicious Process,outlook.exe,MEDIUM,NOT_APPLICABLE,UNKNOWN,Direction,Analyst,ACTIVE,NO,PHF-WS-0015,Server,Finance,CRITICAL,True,True,FALSE_POSITIVE,NORMAL
2026-03-02 09:00:11,authentication_logs,AUTH000899,U0159,D0029,10.14.225.156,True,LOGOUT,UNKNOWN,MEDIUM,SUCCESS,Paris,Juridique,Assistant,ACTIVE,NO,PHF-WS-0029,Server,IT,CRITICAL,True,True,UNLABELED,NORMAL
2026-03-02 09:11:46,authentication_logs,AUTH000695,U0208,D0146,10.9.204.240,True,LOGOUT,UNKNOWN,LOW,SUCCESS,Lyon,Regions,Assistant,ACTIVE,NO,PHF-VM-0146,Laptop,Juridique,HIGH,True,True,UNLABELED,NORMAL
2026-03-02 09:12:00,authentication_logs,AUTH004413,U0361,D0013,10.39.168.130,True,VPN_CONNECT,UNKNOWN,LOW,SUCCESS,Bordeaux,Communication,Assistant,ACTIVE,NO,PHF-VM-0013,Desktop,UNKNOWN,HIGH,True,True,UNLABELED,NORMAL
2026-03-02 09:15:17,authentication_logs,AUTH002780,U0029,D0189,10.27.51.9,True,RDP_SESSION,UNKNOWN,LOW,SUCCESS,Nantes,Juridique,Engineer,ACTIVE,NO,PHF-SRV-0189,VM,Communication,MEDIUM,True,True,UNLABELED,NORMAL
2026-03-02 09:15:29,edr_alerts,EDR001761,U0354,D0025,UNKNOWN,False,Malware Signature,psexec.exe,HIGH,NOT_APPLICABLE,UNKNOWN,Finance,Engineer,ACTIVE,NO,PHF-WS-0025,Laptop,RH,LOW,True,True,TRUE_POSITIVE,MALICIOUS
2026-03-02 09:17:05,authentication_logs,AUTH004207,U0248,D0117,10.34.215.239,True,RDP_SESSION,UNKNOWN,MEDIUM,SUCCESS,Marseille,Direction,Engineer,ACTIVE,NO,PHF-WS-0117,Desktop,Finance,LOW,True,True,UNLABELED,NORMAL
2026-03-02 09:22:05,authentication_logs,AUTH000848,U0109,D0106,10.23.25.203,True,MFA_CHALLENGE,UNKNOWN,MEDIUM,SUCCESS,Lyon,Juridique,Assistant,ACTIVE,NO,PHF-WS-0106,Laptop,Regions,LOW,True,True,UNLABELED,NORMAL
