event_id,timestamp,user_id,src_ip,device_id,event_type,authentication_result,location,severity,is_valid_ip,is_known_user,department,role,employment_status,privileged_account,location_user,hostname,asset_type,department_asset,owner,criticality,operating_system
AUTH002391,10/03/2026,U0247,10.14.245.152,D0098,VPN_CONNECT,success,Lille,LOW,True,True,RH,Manager,ACTIVE,YES,Lille,PHF-LT-0098,Vm,REGIONS,Finance,Critical,WINDOWS SERVER 2019
AUTH001438,19/03/2026,U0090,10.20.221.161,D0030,MFA_CHALLENGE,Success,Nantes,low,True,True,REGIONS,Manager,ACTIVE,NO,Lyon,PHF-LT-0030,Mobile,COMMUNICATION,Regions,MEDIUM,WINDOWS SERVER 2019
AUTH001801,INCONNU,U0331,10.42.70.40,D0004,PASSWORD_CHANGE,SUCCESS,Nantes,MEDIUM,True,True,RH,Manager,ACTIVE,NO,Marseille,PHF-LT-0004,Mobile,COMMUNICATION,RH,Medium,UBUNTU 22.04
AUTH002344,09/03/2026,U0199,10.23.20.8,D0008,LOGIN,SUCCESS,Bordeaux,medium,True,True,FINANCE,Analyst,ACTIVE,NO,Bordeaux,PHF-SRV-0008,Mobile,FINANCE,Communication,High,WINDOWS 11
AUTH000264,05/03/2026,U0030,10.32.221.253,D0131,PASSWORD_CHANGE,SUCCESS,Lyon,Low,True,True,JURIDIQUE,Director,ACTIVE,NO,Lyon,PHF-VM-0131,Mobile,COMMUNICATION,Direction,Medium,WINDOWS 10
AUTH003983,17/03/2026,U0268,10.27.240.42,D0025,PASSWORD_CHANGE,SUCCESS,Bordeaux,LOW,True,True,JURIDIQUE,Engineer,ACTIVE,NO,Paris,PHF-WS-0025,Laptop,JURIDIQUE,RH,Low,WINDOWS SERVER 2019
AUTH003271,INCONNU,U0311,10.18.172.152,D0124,VPN_CONNECT,SUCCESS,Toulouse,Medium,True,True,FINANCE,Assistant,ACTIVE,NO,Bordeaux,PHF-LT-0124,Desktop,REGIONS,Direction,Low,WINDOWS 11
AUTH001553,INCONNU,U0105,10.5.177.104,D0163,PASSWORD_CHANGE,Success,Paris,MEDIUM,True,True,JURIDIQUE,Engineer,ACTIVE,NO,Lille,PHF-VM-0163,Desktop,RH,IT,INCONNU,UBUNTU 22.04
AUTH004715,INCONNU,U0007,154.105.70.161,D0003,LOGIN,FAILED,Bucharest,high,True,True,IT,Director,ACTIVE,YES,Paris,PHF-SRV-0003,Server,IT,IT,CRITICAL,WINDOWS SERVER 2022
AUTH001928,INCONNU,U0109,10.9.24.28,D0051,MFA_CHALLENGE,SUCCESS,Marseille,medium,True,True,JURIDIQUE,Assistant,ACTIVE,NO,Bordeaux,PHF-SRV-0051,Vm,REGIONS,Regions,Critical,MACOS 14
AUTH001787,INCONNU,U0069,10.12.164.249,D0129,LOGIN,success,Bordeaux,low,True,True,REGIONS,Director,ACTIVE,NO,Nantes,PHF-VM-0129,Server,DIRECTION,IT,CRITICAL,WINDOWS 10
AUTH003651,INCONNU,U0291,10.20.17.212,D0015,LOGIN,SUCCESS,Bordeaux,LOW,True,True,DIRECTION,Technician,ACTIVE,NO,Paris,PHF-WS-0015,Server,COMMUNICATION,Finance,CRITICAL,WINDOWS SERVER 2019
AUTH003337,INCONNU,U0127,10.14.143.127,D0037,RDP_SESSION,Success,Bordeaux,medium,True,True,JURIDIQUE,Analyst,ACTIVE,NO,Marseille,PHF-VM-0037,Laptop,JURIDIQUE,Communication,High,WINDOWS SERVER 2022
AUTH000316,12/03/2026,U0275,10.13.43.115,D0003,LOGIN,SUCCESS,Bordeaux,Low,True,True,JURIDIQUE,Engineer,ACTIVE,NO,Marseille,PHF-SRV-0003,Server,IT,IT,CRITICAL,WINDOWS SERVER 2022
AUTH004552,INCONNU,U0241,10.33.99.145,D0028,RDP_SESSION,Success,Paris,MEDIUM,True,True,IT,Director,ACTIVE,NO,Bordeaux,PHF-SRV-0028,Server,COMMUNICATION,Finance,Critical,UBUNTU 22.04
AUTH001498,INCONNU,U0012,10.23.13.149,D0076,PASSWORD_CHANGE,success,Marseille,Medium,True,True,FINANCE,Coordinator,ACTIVE,NO,Marseille,PHF-SRV-0076,Desktop,FINANCE,IT,MEDIUM,WINDOWS SERVER 2019
AUTH003530,21/03/2026,U0087,10.44.138.237,D0025,LOGOUT,Success,Paris,Low,True,True,RH,Assistant,ACTIVE,NO,Nantes,PHF-WS-0025,Laptop,JURIDIQUE,RH,Low,WINDOWS SERVER 2019
AUTH002766,INCONNU,U0261,10.32.11.19,D0042,MFA_CHALLENGE,success,Paris,LOW,True,True,FINANCE,Analyst,ACTIVE,NO,Lille,PHF-VM-0042,Mobile,RH,Regions,High,MACOS 14
AUTH001332,INCONNU,U0130,10.49.110.110,D0130,VPN_CONNECT,FAILURE,Lille,medium,True,True,FINANCE,Director,ACTIVE,NO,Lille,PHF-WS-0130,Mobile,RH,Direction,MEDIUM,WINDOWS SERVER 2019
AUTH003578,INCONNU,U0373,10.8.222.69,D0145,LOGIN,success,Bordeaux,medium,True,True,RH,Assistant,ACTIVE,NO,Toulouse,PHF-WS-0145,Mobile,RH,Direction,Low,MACOS 14
AUTH000137,14/03/2026,U0171,10.24.1.108,D0078,RDP_SESSION,failed,Bordeaux,LOW,True,True,JURIDIQUE,Manager,ACTIVE,NO,Lyon,PHF-LT-0078,Desktop,COMMUNICATION,Communication,MEDIUM,WINDOWS 10
