event_id,timestamp,user_id,src_ip,device_id,event_type,authentication_result,location,severity,is_valid_ip,audit_reason
AUTH003092,,U0284,abc.def.ghi.jkl,D0025,LOGIN,success,Paris,medium,False,INVALID_IP_FORMAT
AUTH001912,02/03/2026,U0325,-1.2.3.4,D0008,PASSWORD_CHANGE,success,Lyon,Low,False,INVALID_IP_FORMAT
AUTH001351,,U0259,-1.2.3.4,D0146,RDP_SESSION,FAILED,Bordeaux,Medium,False,INVALID_IP_FORMAT
AUTH003152,,U0010,10.0.0,D0077,LOGOUT,SUCCESS,Paris,Medium,False,INVALID_IP_FORMAT
AUTH001522,,U0388,10..5.7,D0190,LOGOUT,success,Lyon,MEDIUM,False,INVALID_IP_FORMAT
AUTH003020,,U0383,10.0.0,D0177,LOGOUT,Failed,Toulouse,low,False,INVALID_IP_FORMAT
AUTH004121,04/03/2026,U0224,10..5.7,D0066,PASSWORD_CHANGE,success,Lille,LOW,False,INVALID_IP_FORMAT
AUTH000408,,U0054,abc.def.ghi.jkl,D0178,LOGIN,Success,Paris,Low,False,INVALID_IP_FORMAT
AUTH000802,,,-1.2.3.4,D0190,PASSWORD_CHANGE,success,Paris,Medium,False,INVALID_IP_FORMAT
AUTH001584,07/03/2026,U0054,-1.2.3.4,D0104,PASSWORD_CHANGE,success,Lille,Medium,False,INVALID_IP_FORMAT
AUTH002502,,U0077,-1.2.3.4,D0102,LOGIN,SUCCESS,Marseille,Low,False,INVALID_IP_FORMAT
AUTH000040,,U0185,10..5.7,D0126,VPN_CONNECT,SUCCESS,Paris,medium,False,INVALID_IP_FORMAT
AUTH003765,14/03/2026,U0267,10.0.0,D0112,LOGIN,Success,Toulouse,MEDIUM,False,INVALID_IP_FORMAT
AUTH003627,,U0266,10..5.7,D0152,PASSWORD_CHANGE,Success,Lille,medium,False,INVALID_IP_FORMAT
AUTH002262,06/03/2026,U0025,abc.def.ghi.jkl,D0167,LOGIN,SUCCESS,Paris,Low,False,INVALID_IP_FORMAT
AUTH004059,08/03/2026,U0025,abc.def.ghi.jkl,D0114,MFA_CHALLENGE,Success,Bordeaux,low,False,INVALID_IP_FORMAT
AUTH000209,,U0329,10..5.7,D0014,LOGIN,Success,Bordeaux,Medium,False,INVALID_IP_FORMAT
AUTH002639,,U0336,abc.def.ghi.jkl,D0115,RDP_SESSION,SUCCESS,Bordeaux,low,False,INVALID_IP_FORMAT
AUTH004602,05/03/2026,U0340,10.0.0,D0149,LOGIN,SUCCESS,Bordeaux,low,False,INVALID_IP_FORMAT
AUTH000641,02/03/2026,U0019,abc.def.ghi.jkl,D0113,LOGIN,SUCCESS,Paris,Low,False,INVALID_IP_FORMAT
AUTH003799,10/03/2026,U0081,abc.def.ghi.jkl,D0085,LOGOUT,Success,Lyon,MEDIUM,False,INVALID_IP_FORMAT
AUTH004098,,U0256,10..5.7,D0083,MFA_CHALLENGE,SUCCESS,Lille,Medium,False,INVALID_IP_FORMAT
AUTH002123,,U0106,-1.2.3.4,D0017,MFA_CHALLENGE,Success,Marseille,MEDIUM,False,INVALID_IP_FORMAT
AUTH003879,15/03/2026,,abc.def.ghi.jkl,D0066,LOGIN,success,Nantes,medium,False,INVALID_IP_FORMAT
AUTH002881,10/03/2026,U0137,10.0.0,D0014,MFA_CHALLENGE,success,Lille,medium,False,INVALID_IP_FORMAT
AUTH003905,,,-1.2.3.4,D0159,LOGIN,SUCCESS,Paris,MEDIUM,False,INVALID_IP_FORMAT
AUTH002924,,U0082,-1.2.3.4,D0096,LOGOUT,success,Nantes,Low,False,INVALID_IP_FORMAT
AUTH004686,,,10.0.0,D0001,LOGIN,FAILURE,Nantes,medium,False,INVALID_IP_FORMAT
AUTH000796,,U0245,10.0.0,D0077,RDP_SESSION,success,Paris,LOW,False,INVALID_IP_FORMAT
