event_id,timestamp,user_id,src_ip,device_id,event_type,authentication_result,location,severity,is_valid_ip,is_known_user,audit_reason
AUTH000780,03/03/2026,,10.16.149.51,D0006,MFA_CHALLENGE,SUCCESS,Lille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004739,,U9005,10.24.244.169,D0086,LOGIN,SUCCESS,Marseille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004170,04/03/2026,,10.27.116.181,D0131,PASSWORD_CHANGE,Success,Marseille,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002800,,,10.1.218.22,D0084,MFA_CHALLENGE,SUCCESS,Nantes,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004758,,,10.48.83.229,D0159,LOGIN,SUCCESS,Marseille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000488,,,10.1.70.62,D0078,MFA_CHALLENGE,Success,Toulouse,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000117,,,10.12.174.17,D0108,LOGIN,Success,Lyon,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004830,07/03/2026,,207.232.11.70,D0045,VPN_CONNECT,SUCCESS,Bucharest,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000251,,,10.5.71.240,D0159,RDP_SESSION,success,Bordeaux,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004565,19/03/2026,,10.28.61.119,D0014,VPN_CONNECT,SUCCESS,Lille,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003385,,,10.42.70.4,D0124,VPN_CONNECT,success,Marseille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001690,,,10.28.176.230,D0008,PASSWORD_CHANGE,Success,Lyon,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004757,11/03/2026,U9001,10.20.171.2,D0037,LOGIN,Success,Bordeaux,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
