device_id,hostname,asset_type,department,owner,criticality,operating_system
D0035,PHF-SRV-0035,Mobile,Regions,Juridique,Medium,Windows Server 2019
D0075,PHF-VM-0075,Server,Regions,Regions,Critical,Windows 11
D0051,PHF-SRV-0051,VM,Regions,Regions,Critical,macOS 14
D0137,PHF-WS-0137,Mobile,Juridique,Regions,Critical,Windows 10
D0078,PHF-LT-0078,Desktop,Communication,Communication,MEDIUM,Windows 10
D0160,PHF-VM-0160,Server,Direction,Communication,CRITICAL,macOS 14
D0027,PHF-VM-0027,Laptop,Communication,Juridique,MEDIUM,Windows Server 2022
D0176,PHF-VM-0176,Server,Juridique,Direction,,Windows 10
D0182,PHF-WS-0182,Desktop,RH,Communication,HIGH,Windows 11
D0190,PHF-LT-0190,Laptop,Juridique,RH,Critical,Windows Server 2022
D0099,PHF-SRV-0099,VM,Juridique,RH,,Windows Server 2022
D0037,PHF-VM-0037,Laptop,Juridique,Communication,High,Windows Server 2022
D0022,PHF-LT-0022,Mobile,IT,Finance,Critical,Windows Server 2022
D0065,PHF-WS-0065,Mobile,Communication,RH,MEDIUM,Windows 11
D0042,PHF-VM-0042,Mobile,RH,Regions,High,macOS 14
D0023,PHF-WS-0023,Desktop,IT,RH,HIGH,Windows Server 2022
D0150,PHF-WS-0150,Mobile,Finance,Finance,Medium,Ubuntu 22.04
D0040,PHF-WS-0040,Mobile,IT,Communication,High,Windows Server 2019
D0068,PHF-VM-0068,Mobile,Finance,Regions,High,macOS 14
D0057,PHF-VM-0057,Server,IT,IT,High,Ubuntu 22.04
D0067,PHF-WS-0067,Mobile,RH,,Low,Ubuntu 22.04
D0100,PHF-LT-0100,VM,Finance,Regions,Critical,Windows 11
D0026,PHF-VM-0026,Desktop,IT,RH,Critical,Windows 11
D0126,PHF-SRV-0126,Desktop,Juridique,RH,CRITICAL,macOS 14
D0166,PHF-SRV-0166,Mobile,Communication,Finance,CRITICAL,Windows Server 2019
D0090,PHF-VM-0090,VM,Finance,Communication,Medium,Windows Server 2019
D0080,PHF-WS-0080,Mobile,Finance,Communication,Critical,macOS 14
D0165,PHF-WS-0165,Desktop,Communication,IT,,Windows 10
D0009,PHF-WS-0009,VM,Communication,Communication,LOW,Windows 10
D0188,PHF-VM-0188,Desktop,Direction,,Medium,Ubuntu 22.04
D0074,PHF-WS-0074,Server,Juridique,,MEDIUM,Windows Server 2022
D0159,PHF-LT-0159,VM,Finance,Communication,Medium,macOS 14
D0024,PHF-VM-0024,Desktop,Communication,RH,,Windows 11
D0073,PHF-SRV-0073,Desktop,IT,Regions,High,Windows Server 2022
D0164,PHF-SRV-0164,Mobile,Finance,Finance,,Windows 11
D0088,PHF-WS-0088,Mobile,Juridique,Finance,High,Windows 10
D0083,PHF-LT-0083,Server,Juridique,Direction,HIGH,Windows Server 2019
D0125,PHF-SRV-0125,Desktop,Communication,Finance,,Windows 11
D0047,PHF-LT-0047,Desktop,Regions,Direction,Critical,Ubuntu 22.04
D0102,PHF-VM-0102,Mobile,Communication,Direction,Critical,Windows Server 2019
D0142,PHF-VM-0142,Mobile,Communication,Regions,Critical,Ubuntu 22.04
D0112,PHF-VM-0112,VM,Juridique,Finance,CRITICAL,macOS 14
D0197,PHF-WS-0197,VM,Juridique,Finance,HIGH,Windows Server 2019
D0186,PHF-LT-0186,Laptop,IT,Direction,LOW,Ubuntu 22.04
