event_id,timestamp,user_id,src_ip,device_id,event_type,authentication_result,location,severity
AUTH002391,2026-03-10 02:31:16,U0247,10.14.245.152,D0098,VPN_CONNECT,success,Lille,LOW
AUTH001438,2026-03-19 13:53:30,U0090,10.20.221.161,D0030,MFA_CHALLENGE,Success,Nantes,low
AUTH001801,10/03/2026 09:19,U0331,10.42.70.40,D0004,PASSWORD_CHANGE,SUCCESS,Nantes,MEDIUM
AUTH002344,2026-03-09 11:04:58,U0199,10.23.20.8,D0008,LOGIN,SUCCESS,Bordeaux,medium
AUTH000264,2026-03-05 15:14:01,U0030,10.32.221.253,D0131,PASSWORD_CHANGE,SUCCESS,Lyon,Low
AUTH003983,2026-03-17 12:53:21,U0268,10.27.240.42,D0025,PASSWORD_CHANGE,SUCCESS,Bordeaux,LOW
AUTH003271,19/03/2026 16:41,U0311,10.18.172.152,D0124,VPN_CONNECT,SUCCESS,Toulouse,Medium
AUTH001553,07/03/2026 17:05,U0105,10.5.177.104,D0163,PASSWORD_CHANGE,Success,Paris,MEDIUM
AUTH004715,12/03/2026 02:14,U0007,154.105.70.161,D0003,LOGIN,FAILED,Bucharest,high
AUTH001928,2026-03-17T12:30:05Z,U0109,10.9.24.28,D0051,MFA_CHALLENGE,SUCCESS,Marseille,medium
AUTH001787,2026-03-11T08:08:57Z,U0069,10.12.164.249,D0129,LOGIN,success,Bordeaux,low
AUTH003651,05/03/2026 11:36,U0291,10.20.17.212,D0015,LOGIN,SUCCESS,Bordeaux,LOW
AUTH003337,11/03/2026 17:14,U0127,10.14.143.127,D0037,RDP_SESSION,Success,Bordeaux,medium
AUTH000316,2026-03-12 16:31:55,U0275,10.13.43.115,D0003,LOGIN,SUCCESS,Bordeaux,Low
AUTH004552,08/03/2026 09:08,U0241,10.33.99.145,D0028,RDP_SESSION,Success,Paris,MEDIUM
AUTH001498,18/03/2026 10:02,U0012,10.23.13.149,D0076,PASSWORD_CHANGE,success,Marseille,Medium
AUTH003530,2026-03-21 16:51:50,U0087,10.44.138.237,D0025,LOGOUT,Success,Paris,Low
AUTH002766,09/03/2026 18:35,U0261,10.32.11.19,D0042,MFA_CHALLENGE,success,Paris,LOW
AUTH001332,2026-03-07T15:43:19Z,U0130,10.49.110.110,D0130,VPN_CONNECT,FAILURE,Lille,medium
AUTH003578,2026-03-08T18:40:34Z,U0373,10.8.222.69,D0145,LOGIN,success,Bordeaux,medium
AUTH000137,2026-03-14 13:46:40,U0171,10.24.1.108,D0078,RDP_SESSION,failed,Bordeaux,LOW
AUTH002995,2026-03-05T17:38:51Z,U0286,10.15.77.82,D0126,MFA_CHALLENGE,success,Nantes,low
AUTH000848,2026-03-02T09:22:05Z,U0109,10.23.25.203,D0106,MFA_CHALLENGE,SUCCESS,Lyon,Medium
AUTH003319,2026-03-16T13:13:52Z,U0177,10.10.117.183,D0163,RDP_SESSION,success,Marseille,MEDIUM
AUTH003332,2026-03-09T11:17:42Z,U0012,10.10.98.138,D0080,RDP_SESSION,Success,Lyon,LOW
AUTH001049,2026-03-19T10:28:48Z,U0014,10.9.163.56,D0008,PASSWORD_CHANGE,SUCCESS,Lille,Medium
AUTH003466,2026-03-14T09:09:50Z,U0204,10.40.223.240,D0150,MFA_CHALLENGE,Success,Nantes,Medium
AUTH001848,11/03/2026 12:14,U0203,10.22.57.23,D0066,MFA_CHALLENGE,SUCCESS,Marseille,MEDIUM
