alert_id,timestamp,device_id,user_id,alert_type,process_name,severity,status,analyst_decision
EDR001382,2026-03-11 10:03:00,D0162,U0131,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE
EDR000843,2026-03-18 14:20:42,D0088,U0019,Unusual Network,outlook.exe,Medium,Open,FALSE_POSITIVE
EDR001258,2026-03-11 03:51:00,D0015,U0066,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
EDR001222,2026-03-11 02:03:00,D0094,U0030,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE
EDR000109,2026-03-12 15:18:33,D0185,U0041,PUP Detected,outlook.exe,Low,In Progress,
EDR001150,2026-03-09T13:36:04Z,D0102,U0252,PUP Detected,sccm_client.exe,Medium,Closed,
EDR000161,2026-03-03T17:23:10Z,D0100,U0336,Unusual Network,outlook.exe,Medium,In Progress,FALSE_POSITIVE
EDR000269,2026-03-18 14:35:27,D0169,U0190,Unusual Network,python.exe,MEDIUM,In Progress,FALSE_POSITIVE
EDR000359,2026-03-13T15:43:33Z,D0046,U0292,PUP Detected,inventory_scan.exe,High,Closed,FALSE_POSITIVE
EDR000541,2026-03-02 13:20:53,D0008,U0015,Suspicious Process,outlook.exe,Medium,Closed,FALSE_POSITIVE
EDR000733,2026-03-12 10:28:43,D0108,U0038,Unusual Network,chrome.exe,low,Open,FALSE_POSITIVE
EDR000696,2026-03-08 09:39:57,D0186,U0350,Unusual Network,outlook.exe,High,Open,FALSE_POSITIVE
EDR001604,2026-03-12 13:21:05,D0143,U0390,Unusual Network,rundll32.exe,Critical,In Progress,NEEDS_INVESTIGATION
EDR001634,2026-03-14 14:36:01,D0004,U0392,PowerShell Abuse,mimikatz.exe,CRITICAL,Closed,FALSE_POSITIVE
EDR001206,2026-03-11 01:15:00,D0066,U0146,Suspicious Process,backup_agent.exe,High,Closed,
EDR000428,2026-03-03T10:28:52Z,D0053,U0205,PUP Detected,teams.exe,MEDIUM,Closed,FALSE_POSITIVE
EDR001252,2026-03-11 03:33:00,D0165,U0392,Suspicious Process,backup_agent.exe,high,Closed,FALSE_POSITIVE
EDR001600,2026-03-18T16:51:56Z,D0021,U0380,Suspicious Process,teams.exe,Medium,In Progress,
EDR001410,2026-03-11T11:27:00Z,D0053,U0167,Suspicious Process,backup_agent.exe,high,Closed,FALSE_POSITIVE
EDR000802,2026-03-11T16:17:49Z,D0114,U0069,Unusual Network,teams.exe,MEDIUM,Closed,FALSE_POSITIVE
EDR001803,2026-03-12 03:51:00,D0003,U0007,Persistence Attempt,rundll32.exe,critical,In Progress,NEEDS_INVESTIGATION
EDR000461,2026-03-16 08:52:09,D0156,U0116,PUP Detected,inventory_scan.exe,medium,Closed,FALSE_POSITIVE
EDR001334,2026-03-11 07:39:00,D0119,U0090,Suspicious Process,backup_agent.exe,high,Closed,FALSE_POSITIVE
EDR001292,2026-03-11 05:33:00,D0198,U0367,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
EDR000002,2026-03-21 12:45:50,D0161,U0372,Suspicious Process,teams.exe,high,In Progress,FALSE_POSITIVE
EDR000489,2026-03-07 12:05:19,D0194,U0110,Unusual Network,teams.exe,medium,Closed,FALSE_POSITIVE
EDR001698,2026-03-19 08:38:11,D0038,U0125,Unusual Network,cryptolock.exe,medium,Open,NEEDS_INVESTIGATION
EDR001689,2026-03-09T16:36:35Z,D0175,U0364,Credential Access,chrome.exe,low,Open,NEEDS_INVESTIGATION
EDR001628,2026-03-10 13:23:23,D0059,U0264,PowerShell Abuse,cryptolock.exe,HIGH,Open,NEEDS_INVESTIGATION
EDR001441,2026-03-11 13:00:00,D0138,U0323,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
EDR000977,2026-03-18 18:49:59,D0096,U0027,PUP Detected,outlook.exe,medium,Closed,FALSE_POSITIVE
EDR000894,2026-03-11 12:40:21,D0044,U0170,Suspicious Process,antivirus_update.exe,LOW,Closed,FALSE_POSITIVE
EDR001524,2026-03-11T17:09:00Z,D0045,U0021,Suspicious Process,backup_agent.exe,high,Closed,FALSE_POSITIVE
EDR001216,2026-03-11 01:45:00,D0120,U0219,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
EDR000671,2026-03-16 12:42:22,D0074,U0136,Unusual Network,teams.exe,High,In Progress,FALSE_POSITIVE
EDR000675,2026-03-10 13:10:48,D0127,U0073,Unusual Network,inventory_scan.exe,high,Closed,
EDR000262,2026-03-12 12:29:00,D0086,U0105,Unusual Network,sccm_client.exe,HIGH,Closed,FALSE_POSITIVE
EDR001477,2026-03-11 14:48:00,D0021,U0030,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
