user_id,department,role,employment_status,privileged_account,location
U0026,RH,Director,ACTIVE,NO,Lyon
U0312,RH,Analyst,ACTIVE,NO,Nantes
U0248,Direction,Engineer,ACTIVE,NO,Toulouse
U0287,Communication,Engineer,ACTIVE,NO,Lille
U0341,Direction,Assistant,ACTIVE,NO,Toulouse
U0013,Finance,Technician,ACTIVE,NO,Toulouse
U0084,Communication,Analyst,ACTIVE,NO,Marseille
U0160,Juridique,Manager,INACTIVE,NO,Paris
U0140,Regions,Coordinator,ACTIVE,NO,Marseille
U0081,Regions,Manager,ACTIVE,NO,Lille
U0067,Juridique,Director,ACTIVE,NO,Marseille
U0103,Finance,Technician,ACTIVE,NO,Lille
U0393,Communication,Coordinator,ACTIVE,NO,Lille
U0069,Regions,Director,ACTIVE,NO,Nantes
U0333,Finance,Technician,ACTIVE,NO,Marseille
U0123,RH,Analyst,ACTIVE,NO,Bordeaux
U0288,Direction,Engineer,ACTIVE,NO,Lyon
U0276,Direction,Assistant,ACTIVE,NO,Lyon
U0298,Finance,Manager,ACTIVE,NO,Lille
U0062,Direction,Manager,INACTIVE,NO,Lille
U0089,Communication,Manager,ACTIVE,NO,Marseille
U0161,RH,Director,ACTIVE,NO,Lille
U0096,Direction,Analyst,ACTIVE,NO,Toulouse
U0193,IT,Manager,ACTIVE,NO,Paris
U0018,Direction,Assistant,ACTIVE,NO,Bordeaux
U0146,Finance,Assistant,ACTIVE,NO,Lyon
U0388,Direction,Coordinator,ACTIVE,NO,Paris
U0263,Juridique,Analyst,ACTIVE,NO,Lyon
U0050,Direction,Engineer,ACTIVE,NO,Nantes
U0201,Direction,Coordinator,INACTIVE,NO,Marseille
U0056,Finance,Manager,ACTIVE,NO,Toulouse
U0015,Communication,Manager,ACTIVE,NO,Lille
U0093,Regions,Coordinator,ACTIVE,NO,Lille
U0088,Finance,Engineer,ACTIVE,NO,Lyon
U0374,IT,Assistant,ACTIVE,NO,Paris
U0265,IT,Engineer,ACTIVE,NO,Marseille
U0292,Juridique,Assistant,ACTIVE,NO,Paris
U0076,Communication,Engineer,ACTIVE,NO,Bordeaux
U0381,Direction,Engineer,ACTIVE,NO,Marseille
U0342,IT,Technician,ACTIVE,NO,Nantes
U0105,Juridique,Engineer,ACTIVE,NO,Lille
U0260,Finance,Technician,ACTIVE,NO,Lyon
U0049,Regions,Analyst,ACTIVE,NO,Lille
U0065,Direction,Assistant,ACTIVE,NO,Lille
U0305,Communication,Engineer,ACTIVE,NO,Paris
U0141,IT,Engineer,ACTIVE,NO,Bordeaux
U0171,Juridique,Manager,ACTIVE,NO,Lyon
